,time,status,exception
eight_schools-eight_schools_noncentered,44.33784535899758,mismatch
earnings-earn_height,,error,"AssertionError "
kidiq-kidscore_momhs,,error,"AssertionError "
eight_schools-eight_schools_centered,6.852092631161213,success
dogs-dogs_log,,error,"AssertionError "
kidiq-kidscore_momiq,,error,"AssertionError "
sblri-blr,,error,"AssertionError "
earnings-logearn_height,,error,"AssertionError "
earnings-logearn_interaction_z,,error,"AssertionError "
nes1992-nes,,error,"AssertionError "
earnings-log10earn_height,,error,"AssertionError "
nes1980-nes,,error,"AssertionError "
hudson_lynx_hare-lotka_volterra,,error,"AssertionError "
mesquite-mesquite,,error,"AssertionError "
kidiq_with_mom_work-kidscore_interaction_c,,error,"AssertionError "
diamonds-diamonds,,error,"AssertionError "
hmm_example-hmm_example,,error,"AssertionError "
kidiq_with_mom_work-kidscore_mom_work,,error,"AssertionError "
nes1996-nes,,error,"AssertionError "
one_comp_mm_elim_abs-one_comp_mm_elim_abs,,error,"NameError: name 'integrate_ode_bdf_array_real_array_array_array_array' is not defined "
nes1976-nes,,error,"AssertionError "
nes2000-nes,,error,"AssertionError "
kidiq_with_mom_work-kidscore_interaction_z,,error,"AssertionError "
kidiq_with_mom_work-kidscore_interaction_c2,,error,"AssertionError "
kilpisjarvi_mod-kilpisjarvi,,error,"AssertionError "
arK-arK,12.009836888872087,mismatch
mesquite-logmesquite_logva,,error,"AssertionError "
sblrc-blr,,error,"AssertionError "
mesquite-logmesquite_logvolume,,error,"AssertionError "
nes1984-nes,,error,"AssertionError "
kidiq-kidscore_interaction,,error,"AssertionError "
earnings-logearn_logheight_male,,error,"AssertionError "
arma-arma11,,error,"ValueError: Reverse-mode differentiation does not work for lax.while_loop or lax.fori_loop. Try using lax.scan instead. "
mcycle_gp-accel_gp,,error,"AssertionError "
gp_pois_regr-gp_regr,,error,"NameError: name 'multi_normal_cholesky' is not defined "
earnings-logearn_height_male,,error,"AssertionError "
bball_drive_event_0-hmm_drive_0,,error,"AssertionError "
nes1988-nes,,error,"AssertionError "
bball_drive_event_1-hmm_drive_1,,error,"AssertionError "
garch-garch11,,error,"AssertionError "
kidiq-kidscore_momhsiq,,error,"AssertionError "
mesquite-logmesquite_logvas,,error,"AssertionError "
gp_pois_regr-gp_pois_regr,192.3428288558498,mismatch
nes1972-nes,,error,"AssertionError "
mesquite-logmesquite_logvash,,error,"AssertionError "
mesquite-logmesquite,,error,"AssertionError "
dogs-dogs,42.42135232873261,mismatch
low_dim_gauss_mix-low_dim_gauss_mix,,error,"AssertionError "
earnings-logearn_interaction,,error,"AssertionError "
